datapoint,Year,Zipcode,Total Population,White Population,Black Population,Employed Count,Unemployed Count,Poverty Count,Poverty Count - White,Poverty Count - Black,Median Income,Median Rent,Median Home Value,County,Adjusted Median Income,Adjusted Median Rent,Adjusted Median Home Value,% Black Population,% White Population,% Unemployed,% Black Poverty,% White Poverty
793,2017,48616,7374,7168,35,3196.0,216.0,912.0,847.0,4.0,47699.0,507.0,105200.0,Saginaw,56949.048812826375,605.320190110966,125600.95463446475,0.4746406292378627,97.20640086791428,2.9292107404393817,0.43859649122807015,92.87280701754386
794,2016,48616,7348,7104,33,3259.0,313.0,915.0,846.0,2.0,45018.0,486.0,104000.0,Saginaw,54893.16057448324,592.6090905681917,126813.4679405184,0.4491017964071856,96.67936853565597,4.259662493195427,0.2185792349726776,92.45901639344262
795,2012,48616,7575,7219,40,3140.0,450.0,876.0,789.0,1.0,44540.0,494.0,113500.0,Saginaw,56773.49451640723,629.683571870345,144674.2619580651,0.528052805280528,95.3003300330033,5.9405940594059405,0.1141552511415525,90.06849315068493
796,2015,48616,7430,7144,27,3215.0,386.0,890.0,825.0,2.0,44342.0,498.0,100100.0,Saginaw,54750.95883417645,614.9018424838722,123597.73982456955,0.3633916554508748,96.15074024226111,5.195154777927321,0.22471910112359553,92.69662921348315
797,2020,48616,7118,6702,29,3115.0,181.0,570.0,550.0,13.0,51612.0,518.0,113900.0,Saginaw,58361.158760640006,585.7374300164985,128794.38856926485,0.40741781399269456,94.15566170272548,2.5428491149199215,2.280701754385965,96.49122807017544
798,2019,48616,7321,7014,35,3223.0,194.0,782.0,724.0,15.0,51929.0,516.0,115000.0,Saginaw,59444.02654728796,590.6741454370504,131642.4936536062,0.4780767654691982,95.80658380002733,2.6499112143149843,1.9181585677749362,92.58312020460357
799,2014,48616,7564,7253,21,3192.0,441.0,999.0,915.0,1.0,43530.0,496.0,102100.0,Saginaw,53812.145807988636,613.1592998107595,126216.86393281967,0.27763088313061873,95.88841882601798,5.830248545742993,0.10010010010010009,91.5915915915916
800,2016,48623,14055,12702,703,6175.0,373.0,682.0,660.0,2.0,70833.0,799.0,152300.0,Saginaw,86370.94590991095,974.2688546584056,185708.5689167399,5.0017787264318745,90.3735325506937,2.653859836357168,0.2932551319648094,96.7741935483871
801,2013,48623,14018,12520,887,6008.0,539.0,810.0,765.0,13.0,67509.0,717.0,151900.0,Saginaw,84808.98361070927,900.7397717175273,190826.18036805073,6.327578827222142,89.31373947781424,3.845056356113568,1.6049382716049383,94.44444444444444
802,2015,48623,14010,12617,704,6080.0,374.0,790.0,769.0,5.0,69561.0,797.0,151700.0,Saginaw,85889.9338655033,984.0898965053137,187310.4608530189,5.024982155603141,90.05710206995003,2.6695217701641685,0.6329113924050633,97.34177215189874
803,2012,48623,13663,12343,888,6016.0,436.0,783.0,767.0,7.0,66538.0,703.0,155500.0,Saginaw,84813.53341115185,896.0881599693372,198210.11219805392,6.499304691502599,90.33887140452318,3.1911000512332572,0.8939974457215836,97.9565772669221
804,2020,48623,13690,12602,528,6336.0,169.0,590.0,588.0,2.0,74756.0,648.0,166600.0,Saginaw,84531.63574963971,732.7371711403302,188385.82208638734,3.8568298027757484,92.05259313367421,1.2344777209642075,0.3389830508474576,99.66101694915255
