datapoint,Year,Zipcode,Total Population,White Population,Black Population,Employed Count,Unemployed Count,Poverty Count,Poverty Count - White,Poverty Count - Black,Median Income,Median Rent,Median Home Value,County,Adjusted Median Income,Adjusted Median Rent,Adjusted Median Home Value,% Black Population,% White Population,% Unemployed,% Black Poverty,% White Poverty
102,2018,48072,15360,13976,622,9157.0,191.0,725.0,573.0,97.0,82095.0,964.0,188200.0,Oakland,95678.38501117053,1123.5028095592718,219339.4489201814,4.049479166666667,90.98958333333333,1.2434895833333333,13.379310344827585,79.0344827586207
103,2017,48072,15269,13911,647,8931.0,281.0,845.0,677.0,109.0,77772.0,920.0,172800.0,Oakland,92853.96809725848,1098.4113903394257,206310.31331592685,4.237343637435327,91.10616281354378,1.8403300805553735,12.89940828402367,80.11834319526628
104,2011,48072,15037,13867,552,8302.0,597.0,973.0,832.0,59.0,67217.0,837.0,156700.0,Oakland,87452.11428431707,1088.9718323634406,203873.22118441,3.670945002327592,92.21919265810999,3.970206823169515,6.063720452209661,85.5087358684481
105,2013,48072,15089,14160,248,8336.0,651.0,980.0,839.0,35.0,70023.0,879.0,142200.0,Oakland,87967.2259902042,1104.2541971265082,178640.44008121672,1.6435814169262375,93.8431970309497,4.314401219431375,3.571428571428571,85.61224489795919
106,2015,48072,15178,14268,382,8574.0,557.0,769.0,682.0,22.0,73111.0,900.0,150800.0,Oakland,90273.2702928482,1111.268390031095,186199.19246298785,2.5168006324944,94.00448016866517,3.6697852154434054,2.860858257477243,88.68660598179454
107,2012,48072,15034,13974,409,8275.0,663.0,978.0,840.0,53.0,68019.0,867.0,146000.0,Oakland,86701.30946366194,1105.132908525484,186100.81273900886,2.720500199547692,92.94931488625781,4.410003990953839,5.419222903885481,85.88957055214725
108,2014,48072,15135,14048,430,8362.0,662.0,1106.0,990.0,51.0,70625.0,883.0,145200.0,Oakland,87307.20876841713,1091.5718986550419,179497.44018653687,2.8410967955071027,92.81797158903204,4.373967624710935,4.61121157323689,89.5117540687161
109,2020,48072,15352,13725,528,9493.0,206.0,593.0,483.0,107.0,93038.0,993.0,222100.0,Oakland,105204.32242060806,1122.8518687381911,251143.4038738693,3.4392912975508074,89.402032308494,1.341844710786868,18.043844856661046,81.45025295109612
110,2015,48073,33488,30087,1517,19527.0,1116.0,2477.0,1971.0,296.0,62987.0,751.0,163700.0,Oakland,77772.73564765397,927.2917343481689,202127.37272010025,4.5299808886765405,89.84412326803631,3.3325370281892024,11.949939442874445,79.57206297941057
111,2011,48073,32850,30080,941,18758.0,1293.0,2108.0,1689.0,235.0,59457.0,709.0,165100.0,Oakland,77356.0313462761,922.4385055503936,214801.97075651612,2.8645357686453576,91.56773211567733,3.9360730593607305,11.148007590132828,80.12333965844402
112,2019,48073,34700,31025,1458,20757.0,723.0,2399.0,1800.0,314.0,78843.0,933.0,217500.0,Oakland,90252.94893157628,1068.0212745983877,248976.02060573339,4.2017291066282425,89.4092219020173,2.0835734870317,13.088786994581076,75.03126302626094
113,2018,48073,34242,30789,1296,20441.0,797.0,2516.0,1993.0,267.0,76203.0,894.0,204000.0,Oakland,88811.49854444519,1041.9206553381623,237753.70658723172,3.7848256527072013,89.91589276327318,2.327550960808364,10.6120826709062,79.21303656597775
114,2013,48073,33123,30252,1284,18852.0,1341.0,2167.0,1765.0,244.0,58755.0,731.0,152600.0,Oakland,73811.66706731285,918.327438110896,191705.56368771923,3.876460465537542,91.33230685626302,4.048546327325423,11.259806183664052,81.44900784494693
115,2016,48073,33832,30504,1356,19680.0,1056.0,2528.0,2094.0,145.0,65295.0,803.0,173100.0,Oakland,79618.12874207835,979.1462957330408,211071.2625048436,4.008039725703476,90.16315913927643,3.1213052731142112,5.735759493670886,82.83227848101265
