datapoint,Year,Zipcode,Total Population,White Population,Black Population,Employed Count,Unemployed Count,Poverty Count,Poverty Count - White,Poverty Count - Black,Median Income,Median Rent,Median Home Value,County,Adjusted Median Income,Adjusted Median Rent,Adjusted Median Home Value
873,2012,48722,3234,2643,472,1396.0,132.0,266.0,245.0,0.0,43327.0,517.0,97000.0,Saginaw,55227.3281749523,659.0008231922436,123642.32079235518
874,2018,48722,3033,2834,129,1313.0,152.0,351.0,351.0,0.0,54349.0,441.0,93700.0,Saginaw,63341.54999661499,513.9675715929861,109203.54072168437
875,2013,48722,3255,2810,360,1448.0,161.0,340.0,278.0,17.0,43224.0,524.0,93500.0,Saginaw,54300.66372764072,658.2812278660867,117460.4862699983
876,2011,48722,3100,2503,474,1271.0,163.0,238.0,218.0,0.0,42204.0,503.0,101600.0,Saginaw,54909.16035013937,654.423932710646,132185.82815785613
877,2016,48722,3217,3030,149,1431.0,149.0,294.0,276.0,18.0,50827.0,444.0,86600.0,Saginaw,61976.424375122384,541.3959592845208,105596.59926585473
878,2020,48722,2873,2487,264,1266.0,130.0,262.0,177.0,73.0,54777.0,531.0,102800.0,Saginaw,61940.037073385596,600.4374041288817,116242.87221176842
879,2019,48722,3068,2773,217,1444.0,143.0,272.0,184.0,67.0,60898.0,531.0,97200.0,Saginaw,69710.99633493312,607.8449054788251,111266.52507070018
890,2019,48734,7601,7502,18,3662.0,68.0,300.0,298.0,2.0,77019.0,559.0,196900.0,Saginaw,88164.98451049646,639.8969908901379,225394.84348169615
891,2013,48734,7643,7401,50,3394.0,179.0,487.0,445.0,24.0,54603.0,573.0,166300.0,Saginaw,68595.66771979377,719.8380602428773,208916.3515155157
892,2014,48734,7601,7473,20,3340.0,174.0,427.0,405.0,5.0,51936.0,601.0,166600.0,Saginaw,64203.71248986212,742.961167714247,205952.29707353335
893,2011,48734,7673,7300,52,3485.0,219.0,406.0,363.0,23.0,67333.0,611.0,179100.0,Saginaw,87603.0351117414,794.9364272091544,233016.55337669322
894,2018,48734,7516,7455,15,3506.0,63.0,318.0,318.0,0.0,67643.0,556.0,189500.0,Saginaw,78835.16654254959,647.995396384808,220854.546070002
895,2017,48734,7523,7434,27,3415.0,92.0,334.0,334.0,0.0,61689.0,549.0,175100.0,Saginaw,73652.06549853132,655.4650579308093,209056.34179177543
896,2012,48734,7729,7331,38,3513.0,191.0,517.0,468.0,23.0,62656.0,624.0,171200.0,Saginaw,79865.29125325575,795.38977499412,218222.32288300214
897,2020,48734,7837,7381,235,3872.0,97.0,326.0,318.0,8.0,79130.0,611.0,214700.0,Saginaw,89477.61165483693,690.8987832820089,242775.72630220506
898,2016,48734,7740,7663,24,3459.0,119.0,245.0,245.0,0.0,55812.0,549.0,168300.0,Saginaw,68054.93531438666,669.428787493698,205218.3332152812
899,2015,48734,7604,7537,24,3433.0,159.0,322.0,322.0,0.0,53687.0,550.0,167900.0,Saginaw,66289.62895066598,679.1084605745579,207313.29187357865
900,2012,48757,3946,3838,24,1897.0,113.0,405.0,380.0,8.0,51144.0,506.0,113200.0,Saginaw,65191.36963509499,644.9795290817705,144291.86302777947
901,2016,48757,3664,3583,18,1812.0,93.0,406.0,369.0,12.0,50393.0,511.0,108700.0,Saginaw,61447.22201852445,623.0930972846625,132544.4612032149
902,2019,48757,3742,3632,22,1859.0,110.0,378.0,368.0,10.0,63813.0,560.0,118900.0,Saginaw,73047.847369718,641.0417082262562,136106.89126446762
903,2013,48757,3929,3830,10,1881.0,104.0,370.0,343.0,10.0,52386.0,501.0,115000.0,Saginaw,65810.53512021531,629.3872045055525,144470.11680267175
904,2015,48757,3735,3647,17,1800.0,52.0,382.0,350.0,10.0,50924.0,498.0,110900.0,Saginaw,62878.03499327052,614.9018424838723,136932.96050494266
905,2018,48757,3681,3597,24,1825.0,93.0,377.0,364.0,13.0,56667.0,525.0,112500.0,Saginaw,66043.0847606797,611.866156658317,131114.17642678219
906,2011,48757,3976,3886,13,1930.0,112.0,376.0,370.0,4.0,51181.0,467.0,116500.0,Saginaw,66588.61093452002,607.5864345444764,151571.3482321874
907,2020,48757,3831,3719,12,1892.0,174.0,280.0,272.0,8.0,63942.0,576.0,125300.0,Saginaw,72303.51882261573,651.3219299025156,141685.13509858545
908,2017,48757,3669,3583,22,1792.0,83.0,324.0,308.0,13.0,53821.0,504.0,111900.0,Saginaw,64258.26026028067,601.7384138381201,133600.25497715402
909,2014,48757,3795,3704,13,1806.0,65.0,363.0,330.0,13.0,52444.0,498.0,111500.0,Saginaw,64831.70628886185,615.6317163422545,137837.22163084615
910,2015,48807,753,741,0,305.0,28.0,82.0,82.0,0.0,48250.0,442.0,89600.0,Saginaw,59576.33313222258,545.7562537708266,110632.94194087342
911,2012,48807,800,777,0,339.0,51.0,70.0,67.0,0.0,49135.0,300.0,116800.0,Saginaw,62630.57146528219,382.3989302856346,148880.6501912071
912,2017,48807,787,780,0,309.0,15.0,116.0,116.0,0.0,41154.0,521.0,85900.0,Saginaw,49134.80691090078,622.0351460509137,102558.19394582244
913,2014,48807,828,809,0,323.0,37.0,71.0,71.0,0.0,51250.0,432.0,110200.0,Saginaw,63355.67361955933,534.0419708029196,136230.1508853744
914,2013,48807,836,815,0,333.0,55.0,90.0,87.0,0.0,51500.0,415.0,113300.0,Saginaw,64697.48708989212,521.3486823748589,142334.47159776266
915,2019,48807,853,848,2,367.0,28.0,104.0,104.0,0.0,52396.0,518.0,89100.0,Saginaw,59978.60954325522,592.9635801092869,101994.31464814182
916,2018,48807,844,835,2,368.0,24.0,109.0,109.0,0.0,44583.0,526.0,86000.0,Saginaw,51959.67402342427,613.0316160043328,100229.50375736238
917,2016,48807,768,761,0,289.0,26.0,101.0,101.0,0.0,44821.0,414.0,88300.0,Saginaw,54652.94660155745,504.8151512247559,107669.51172257474
